index,tDept,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,overall_rating
0,Physics,Peter,,Abbamonte,1088805,14,good,3.8
1,Engineering,Ali,,Abbas,781808,25,good,4.6
2,Languages,Ann,,Abbott,396520,11,good,5.0
3,Education,Fouad,,Abd El Khalick,2049714,1,good,5.0
4,Computer Science,Tarek,,Abdelzaher,797719,7,good,3.6
5,Mathematics,Samal,,Abdikerimova,2571160,1,good,4.0
6,Foreign Languages,Wafa,,Abdulla,2291129,1,good,5.0
7,Communication,Bryan,,Abendschein,1959547,6,good,5.0
8,Classics,Daniel,,Abosso,845095,22,good,4.2
9,Materials Engineering,Mohamed,,Aboukhatwa,1783068,3,good,5.0
10,Civil Engineering,Daniel,,Abrams,1592032,4,average,3.3
11,Communication,Katie,,Abrams,1789161,2,average,2.5
12,Ethnic Studies,Aide,,Acosta,1426706,12,poor,2.2
13,English,Laura,,Adamczyk,1547687,2,average,2.8
14,Chemistry,Gretchen,,Adams,477677,92,good,4.8
15,Music,Margarethe,,Adams,1595808,2,poor,2.2
16,Linguistics,Chase,,Adams,2573240,0,zero,N/A
17,Health Science,Brynn,C.,Adamson,2467450,5,good,5.0
18,Education,Adeoye,,Adeyemo,2659638,1,good,5.0
19,Not Specified,Marilyn,,Adibu,1793019,1,good,5.0
20,Economics,Taimur,,Adil,897257,8,good,4.4
21,Education,Susan,,Adler,781719,0,zero,N/A
22,Physics,Peter,J,Adshead,1951602,13,good,3.6
23,Computer Science,Sarita,,Adve,119673,18,good,4.0
24,Computer Science,Vikram,,Adve,1654175,3,good,4.3
25,Computer Science,Rishika,,Agarwal,2640650,1,poor,2.0
26,Mathematics,Ikemefuna,,Agbanusi,1906570,4,good,4.8
27,Electrical & Computer Engineering,Anu,,Aggarwal,2598020,6,average,3.0
28,Computer Science,Gul,,Agha,1987889,12,poor,1.6
29,Economics,Cagdas,,Agirdas,801417,13,good,4.2
30,English,Sunil,,Agnani,1289004,0,zero,N/A
31,Business,Anupam,,Agrawal,1287970,15,good,4.6
32,Mathematics,Scott,,Ahlgren,410118,53,good,4.7
33,Economics,Pooyan,Amir,Ahmadi,2326402,2,good,5.0
34,Mathematics,Iftikhar,,Ahmed,2342487,50,poor,2.1
35,Business,Mehmet,,Ahsen,2643205,0,zero,N/A
36,Economics,Henrique Veras,De,Aiva Fonseca,2049387,3,good,4.0
37,Civil Engineering,Ange,Therese,Akono,1983314,5,average,3.4
38,Economics,Richard,,Akresh,537570,13,good,4.1
39,Sociology,Ilana,Redstone,Akresh,2241568,13,poor,1.6
40,Physics,Aleksei,,Aksimentiev,1669858,3,poor,2.0
41,Religion,Eiyad,,Al-Kutubi,2002749,2,good,4.2
42,Civil Engineering,Imad,,Al-Qadi,1750155,4,good,4.4
43,Computer Science,Abdussalam,,Alawini,2442487,34,good,4.9
44,Spanish,Caio,,Albernaz Siqueira,2517292,0,zero,N/A
45,Animal Science,Sarah,,Albert,1826356,19,good,4.7
46,Mathematics,Pierre,,Albin,2105027,14,good,4.3
47,Linguistics,Abdulkafi,,Albirini,904235,16,good,4.8
48,Economics,David,,Albouy,2369095,1,good,5.0
49,Philosophy,Ingrid,,Albrecht,1140624,6,good,4.5
50,English,Sarah,,Alexander,361655,3,good,4.3
51,History,Tariq,O,Ali,1908208,7,good,4.0
52,Mechanical Engineering,Kazem,,Alidoost,2560438,2,average,2.5
53,Information Science,Abdul,,Alkalimat Mcworter,1861207,0,zero,N/A
54,Mathematics,Emre,,Alkan,339880,11,average,3.2
55,Engineering,Jean Paul,,Allain,1904102,3,good,3.8
56,Biology,Brian,,Allan,1557913,12,good,5.0
57,Political Science,Todd,,Allee,404623,31,good,4.0
58,Mathematics,Patrick,,Allen,2257906,4,good,3.7
59,Electrical amp Computer Engineering,Jont,,Allen,2478966,2,average,2.5
60,History,Ryan,,Allen,2504064,1,poor,2.0
61,Agricultural Economics,Joyce,,Allen-Smith,1779283,9,poor,2.3
62,Sociology,Keera,,Allendorf,1574986,9,average,3.3
63,Mechanical Engineering,Andrew,,Alleyne,1425996,1,good,4.0
64,Biology,Marianne,,Alleyne,2500913,1,good,5.0
65,Urban  Regional Planning,Dustin,,Allred,1980818,3,average,2.6
66,Biology,Cassandra,,Allsup,1100572,4,good,3.9
67,Finance,Heitor,,Almedia,1991814,2,good,5.0
68,Community Health Sciences,Reginald,,Alston,1357909,1,good,5.0
69,Accounting,Amanda,,Alt,2530717,1,good,5.0
70,Geology,Stephen,,Altaner,133576,139,good,4.1
71,Political Science,Scott,,Althaus,91161,20,good,3.6
72,Engineering,Narayana,,Aluru,392161,14,average,2.9
73,Communication,Eduardo,,Alvarez,1777996,0,zero,N/A
74,Communication,Elizabeth,R,Alvarez,1791510,1,good,3.5
75,Electrical  Computer Engineering,Juan,,Alvarez,2106312,15,average,3.0
76,Spanish,Lucia,,Alzaga,921556,9,good,4.1
77,Law,Vik,,Amar,2083346,1,average,3.0
78,Law,Vikram,D.,Amar,2187198,2,good,3.5
79,Anthropology,Stan,,Ambrose,26679,20,average,2.7
80,Speech & Hearing Sciences,Nicoline,,Ambrose,1105271,5,average,2.8
81,Architecture,Abbas,,Aminmansour,671943,15,good,4.3
82,Computer Science,Eyal,,Amir,1736770,2,poor,1.8
83,Bioengineering,Jenny,,Amos,1490652,4,good,4.2
84,Psychology,Rachel,,Amrhein,2221924,0,zero,N/A
85,Biochem. amp Molecular Biology,Sayeepriyadarshini,,Anakk,2678661,0,zero,N/A
86,Business,Gopesh,,Anand,1549759,10,average,3.0
87,Cinema,Kumar,,Anant,2393204,0,zero,N/A
88,Biology,Thomas,,Anastasio,1681100,12,good,4.7
89,Geology,Alison,M,Anders,1759342,10,average,3.0
90,Economics,Patrese,,Andersen,2630749,1,poor,1.0
91,Education,James,,Anderson,475290,12,good,3.5
92,Philosophy,Lucas,,Anderson,1363013,3,good,3.8
93,Human & Community Development,Barbara,,Anderson,1443671,2,average,3.0
94,Foreign Languages,Cori,,Anderson,1811727,0,zero,N/A
95,Psychology,Carolyn,,Anderson,2008042,0,zero,N/A
96,Business,Phillip,,Anderson,2117873,2,average,3.0
97,Accounting,Spencer,B.,Anderson,2371986,2,average,3.0
98,Psychology,Evan,,Anderson,2490707,0,zero,N/A
99,Theater,Robert,,Anderson,2499080,0,zero,N/A
100,Art & Design,Noel,,Anderson,2644549,4,good,4.3
101,Psychology,Nicole,,Anderson-Cobb,1868758,4,good,4.1
102,Chemistry,jose,G,Andino Martinez,2301106,8,poor,1.2
103,Mathematics,Matthew,,Ando,940833,21,good,4.3
104,Agriculture,Amy,,Ando,2016027,0,zero,N/A
105,Community Health Sciences,Flavia,,Andrade,1278572,14,good,3.6
106,Civil Engineering,Bassem,,Andrawes,1904912,4,poor,2.0
107,Art & Design,Kimber,,Andrews,1531166,3,good,5.0
108,Mathematics,Jason,,Anema,2068782,35,good,4.2
109,Computer Science,Lawrence,,Angrave,1117293,107,good,4.3
110,Biology,Devi,,Annamalai,689913,2,good,4.5
111,Information Science,Barnhart,,Anne,1861110,1,poor,1.5
112,Education,Vicki,,Ansermet,1243701,3,good,5.0
113,Bioengineering,Eleni,,Antoniadou,1588027,5,good,4.2
114,Accounting,Jiayue,,Ao,2604180,0,zero,N/A
115,Natural Resources,Yuji,,Arai,1903764,9,good,4.3
116,Philosophy,Andrew,,Arana,1752036,6,good,4.7
117,Mathematics,Rebekah,,Arana,1784667,18,good,4.2
118,Crop Studies,Juan,David,Arbelaez,2658533,2,good,5.0
119,Dance,Renee,,Archibald,1635491,3,average,2.8
120,Design,Mark,,Arends,784741,2,good,4.5
121,Economics,Filia,,Arga,2450578,1,good,5.0
122,Biology,Lily,,Arias,2407566,3,average,3.3
123,Accounting,Özlem,,Arikan,1664593,1,poor,1.5
124,Biology,Talia,,Ariss,2323692,4,good,4.0
125,Anthropology,Jamie,,Arjona,2493401,0,zero,N/A
126,Economics,Ramses,,Armendariz,2515016,24,poor,1.6
127,Architecture,Paul,,Armstrong,497188,17,poor,2.0
128,Psychology,Christopher,,Armstrong,617208,5,good,4.8
129,Asian Studies,Constancio,,Arnaldo,1518567,2,good,5.0
130,Mathematics,Maxim,,Arnold,1875760,0,zero,N/A
131,Economics,Richard,,Arnould,483148,13,average,3.0
132,Speech  Hearing Sciences,Justin,,Aronoff,2050670,10,good,4.1
133,English,Jeffrey,,Arrigo,1917564,1,good,5.0
134,Computer Science,Deniz,,Arsan,2606478,1,poor,2.0
135,Food Science,William,,Artz,2251457,0,zero,N/A
136,Economics,Lanny,,Arvan,1557762,3,poor,2.3
137,Economics,Hassan,,Arvin-Rad,898556,72,average,3.0
138,History,Ikuko,,Asaka,2362012,2,good,4.5
139,Accounting,Bright,,Asante-Appiah,1873664,10,average,3.3
140,Mathematics,Carol,,Ash,615225,9,good,3.8
141,Labor & Employment Relations,Steven,,Ashby,1674941,5,poor,1.8
142,Political Science,Jeffrey,,Ashley,2127508,9,average,3.2
143,Journalism,Jabari,,Asim,1246560,0,zero,N/A
144,Agriculture,Takasi,,Asobo,1712098,0,zero,N/A
145,English,Yanoula,,Athanassakis,362483,12,average,3.1
146,Mathematics,Jayadev,,Athreya,1879942,18,poor,1.6
147,Anthropology,Paul Michael,,Atienza,1903025,0,zero,N/A
148,Sociology,Jose,,Atiles Osoria,2653386,1,good,5.0
149,Not Specified,Antonios,,Augoustakis,1793015,6,good,4.7
150,Biology,Carol,,Augspurger,530870,33,good,4.0
151,Accounting,Romana L,,Autrey,1507914,4,good,4.8
152,Labor & Employment Relations,Ariel,,Avgar,1803396,0,zero,N/A
153,English,Rebecca,E.,Avgoustopoulos,2660617,1,good,4.0
154,History,Eugene,,Avrutin,936582,8,good,4.5
155,Mathematics,Steve,,Avsec,1508917,1,good,4.5
156,Chemistry,Jordan,,Axelson,2249882,38,average,3.2
157,Engineering,Roy,A,Axford,1754051,2,average,3.0
158,Communication,Pamela,,Axtman-Barker,2449490,1,good,5.0
159,English,Thomas,,Ayala,954886,2,good,4.2
160,German,Felix,,Ayanbode,2629786,0,zero,N/A
161,Mathematics,Yelda,,Aydin,1210293,3,average,3.2
162,Crop Studies,Mohammad,,Babadoost,2435785,1,good,4.0
163,Education,Lorenzo,,Baber,1183814,2,good,4.2
164,Communication,Eli,,Bacon,2573364,3,average,2.7
165,Electrical  Comp. Engineering,Eric,,Badger,1928819,10,good,4.3
166,Economics,Werner,,Baer,176914,149,average,3.2
167,Medicine,M,,Bagchi,915830,4,average,2.9
168,Mechanical Engineering,Gaurav,,Bahl,2284728,1,poor,2.0
169,Physics,Somnath,,Baidya Roy,1664081,1,good,5.0
170,English,Melissa,,Bailes,1030874,10,good,4.5
171,Computer Science,Brian,,Bailey,550130,11,good,4.1
172,African-American Studies,Ronald,,Bailey,1876948,3,average,3.0
173,Computer Science,Michael,,Bailey,2050634,3,good,4.3
174,Electrical  Comp. Engineering,Michael,,Bailey,2072457,0,zero,N/A
175,Psychology,Renee,,Baillargeon,1723342,8,good,4.3
176,Sociology,Phyllis,,Baker,2234844,4,average,2.5
177,Engineering,Maciej,,Balajewicz,2333210,1,poor,1.0
178,Accounting,Lucas,,Balaminut,2196290,2,good,5.0
